# x, y, theta, v_l, v_r
50.00, 4050.00, 1.571, 0.00, 0.00
50.00, 4050.00, 1.571, 0.00, 0.00
50.00, 4050.00, 1.571, 0.00, 0.00
50.00, 4050.00, 1.571, 0.00, 0.00
50.00, 4050.00, 1.570, 0.10, 0.00
50.00, 4050.00, 1.570, 0.10, 0.10
50.00, 4050.00, 1.570, 0.10, 0.10
50.00, 4050.00, 1.570, 0.10, 0.10
50.00, 4050.00, 1.570, 0.10, 0.10
50.00, 4050.01, 1.570, 0.10, 0.10
50.00, 4050.01, 1.580, 0.10, 1.08
50.00, 4050.02, 1.589, 0.10, 1.08
50.00, 4050.02, 1.599, 0.10, 1.08
50.00, 4050.03, 1.609, 0.10, 1.08
50.00, 4050.04, 1.609, 1.08, 1.08
50.00, 4050.05, 1.609, 1.08, 1.08
50.00, 4050.06, 1.609, 1.08, 1.08
50.00, 4050.07, 1.609, 1.08, 1.08
50.00, 4050.09, 1.599, 2.05, 1.08
50.00, 4050.10, 1.589, 2.05, 1.08
50.00, 4050.12, 1.580, 2.05, 1.08
50.00, 4050.13, 1.570, 2.05, 1.08
50.00, 4050.15, 1.560, 2.05, 1.08
50.00, 4050.17, 1.550, 2.05, 1.08
50.00, 4050.18, 1.540, 2.05, 1.08
50.00, 4050.20, 1.531, 2.05, 1.08
50.00, 4050.22, 1.531, 2.05, 2.05
50.00, 4050.24, 1.531, 2.05, 2.05
50.00, 4050.26, 1.531, 2.05, 2.05
50.00, 4050.28, 1.531, 2.05, 2.05
50.00, 4050.30, 1.531, 2.05, 2.05
50.00, 4050.32, 1.540, 2.05, 3.03
50.00, 4050.35, 1.550, 2.05, 3.03
50.00, 4050.38, 1.560, 2.05, 3.03
50.00, 4050.41, 1.560, 3.03, 3.03
50.00, 4050.44, 1.560, 3.03, 3.03
50.01, 4050.47, 1.560, 3.03, 3.03
50.01, 4050.50, 1.560, 3.03, 3.03
50.01, 4050.53, 1.560, 3.03, 3.03
50.01, 4050.56, 1.550, 4.01, 3.03
50.01, 4050.60, 1.540, 4.01, 3.03
50.01, 4050.63, 1.531, 4.01, 3.03
50.01, 4050.67, 1.521, 4.01, 3.03
50.01, 4050.71, 1.521, 4.01, 4.01
50.01, 4050.75, 1.521, 4.01, 4.01
50.02, 4050.79, 1.521, 4.01, 4.01
50.02, 4050.83, 1.521, 4.01, 4.01
50.02, 4050.87, 1.531, 4.01, 4.99
50.02, 4050.92, 1.540, 4.01, 4.99
50.02, 4050.96, 1.550, 4.01, 4.99
50.02, 4051.01, 1.560, 4.01, 4.99
50.02, 4051.06, 1.560, 4.99, 4.99
50.02, 4051.11, 1.560, 4.99, 4.99
50.03, 4051.16, 1.560, 4.99, 4.99
50.03, 4051.21, 1.560, 4.99, 4.99
50.03, 4051.26, 1.560, 4.99, 4.99
50.03, 4051.31, 1.550, 5.96, 4.99
50.03, 4051.37, 1.540, 5.96, 4.99
50.03, 4051.42, 1.531, 5.96, 4.99
50.03, 4051.48, 1.521, 5.96, 4.99
50.04, 4051.54, 1.521, 5.96, 5.96
50.04, 4051.59, 1.521, 5.96, 5.96
50.04, 4051.65, 1.521, 5.96, 5.96
50.04, 4051.71, 1.521, 5.96, 5.96
50.05, 4051.78, 1.531, 5.96, 6.94
50.05, 4051.84, 1.540, 5.96, 6.94
50.05, 4051.91, 1.550, 5.96, 6.94
50.05, 4051.97, 1.560, 5.96, 6.94
50.05, 4052.04, 1.560, 6.94, 6.94
50.05, 4052.11, 1.560, 6.94, 6.94
50.05, 4052.18, 1.560, 6.94, 6.94
50.06, 4052.25, 1.560, 6.94, 6.94
50.06, 4052.32, 1.560, 6.94, 6.94
50.06, 4052.39, 1.550, 7.92, 6.94
50.06, 4052.47, 1.540, 7.92, 6.94
50.06, 4052.54, 1.531, 7.92, 6.94
50.07, 4052.62, 1.521, 7.92, 6.94
50.07, 4052.70, 1.521, 7.92, 7.92
